Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
10,Aston Villa,L,Away,1,3,0.5,2.3,30,1.3333333333333333,1.3333333333333333,1.1333333333333333,2.566666666666667,36.666666666666664,-1,6.111111111111112
10,Manchester Utd,W,Away,3,0,4.0,0.9,60,1.0,1.3333333333333333,0.7333333333333334,0.5333333333333333,58.0,1,7.111111111111112
10,Manchester City,L,Home,0,3,0.9,4.0,40,1.3333333333333333,1.0,1.2666666666666666,1.0666666666666667,67.66666666666667,-1,7.777777777777778
10,Wolves,D,Away,2,2,2.2,0.9,57,2.6666666666666665,0.6666666666666666,2.5,1.0,58.666666666666664,0,9.222222222222223
10,Liverpool,L,Away,0,3,0.4,3.2,28,1.0,1.0,1.4666666666666668,1.366666666666667,48.666666666666664,-1,6.111111111111112
10,Arsenal,L,Away,0,5,0.0,2.8,33,0.6666666666666666,2.3333333333333335,1.0333333333333332,1.8,42.0,-1,3.333333333333333
10,Crystal Palace,W,Away,2,1,1.1,0.6,75,1.6666666666666667,0.3333333333333333,1.8666666666666665,1.0333333333333334,61.666666666666664,1,9.444444444444445
10,Everton,L,Home,0,1,0.7,0.8,64,1.6666666666666667,2.0,1.4666666666666668,1.6666666666666667,43.333333333333336,-1,5.444444444444444
10,Newcastle Utd,D,Home,2,2,0.9,2.2,43,1.6666666666666667,1.0,1.5,1.0333333333333334,48.0,0,7.777777777777778
11,Newcastle Utd,L,Away,0,1,0.6,1.0,58,2.6666666666666665,0.6666666666666666,1.3999999999999997,0.6,57.333333333333336,-1,8.777777777777779
11,Nott'ham Forest,L,Away,0,2,1.2,0.4,73,2.6666666666666665,1.0,1.933333333333333,1.0999999999999999,60.333333333333336,-1,9.333333333333334
11,Manchester City,L,Away,1,6,0.9,1.9,35,1.0,2.0,0.8000000000000002,1.866666666666667,44.0,-1,5.111111111111111
11,West Ham,W,Home,3,2,1.5,1.8,58,2.0,0.6666666666666666,2.066666666666667,1.4666666666666666,39.333333333333336,1,7.222222222222222
11,Everton,D,Away,1,1,0.5,0.7,79,1.3333333333333333,1.6666666666666667,1.4999999999999998,1.2666666666666666,54.0,0,5.777777777777777
11,Crystal Palace,L,Home,0,2,1.1,1.3,67,0.6666666666666666,3.0,0.8666666666666666,2.0333333333333337,47.666666666666664,-1,3.333333333333333
11,Tottenham,W,Away,4,1,4.1,0.9,60,2.0,1.6666666666666667,1.7,1.3,58.0,1,6.555555555555555
11,Burnley,W,Away,2,0,1.3,1.1,33,0.3333333333333333,2.0,0.8666666666666666,1.5,39.333333333333336,1,5.555555555555555
11,Brighton,D,Home,1,1,0.7,0.5,21,1.3333333333333333,0.6666666666666666,1.0999999999999999,1.2000000000000002,35.666666666666664,0,7.333333333333333
11,Manchester Utd,L,Home,0,1,1.0,0.7,45,1.3333333333333333,1.3333333333333333,1.3,1.1666666666666667,44.666666666666664,-1,6.0
11,Luton Town,D,Away,1,1,2.6,0.8,73,2.3333333333333335,0.6666666666666666,2.566666666666667,0.9333333333333332,67.66666666666667,0,8.222222222222221
11,Liverpool,D,Home,1,1,0.8,2.6,27,1.0,2.0,1.0,2.3666666666666667,35.666666666666664,0,5.666666666666666
11,Bournemouth,W,Home,6,1,1.9,0.9,65,1.6666666666666667,0.6666666666666666,1.7666666666666668,0.7000000000000001,55.333333333333336,1,7.555555555555555
11,Fulham,W,Away,1,0,0.7,1.0,55,1.3333333333333333,1.6666666666666667,1.1333333333333335,2.1,55.333333333333336,1,7.111111111111112
11,Arsenal,W,Home,1,0,1.0,0.6,42,2.6666666666666665,1.3333333333333333,2.2,1.0999999999999999,60.0,1,8.444444444444445
11,Aston Villa,W,Home,2,0,0.4,1.2,27,0.6666666666666666,1.6666666666666667,1.4333333333333333,1.9000000000000001,44.333333333333336,1,5.333333333333333
11,Wolves,W,Home,2,1,1.0,1.2,39,0.6666666666666666,3.3333333333333335,0.6666666666666665,2.033333333333333,37.0,1,3.333333333333333
11,Chelsea,L,Home,1,4,0.9,4.1,40,1.6666666666666667,0.3333333333333333,1.5,0.7999999999999999,65.33333333333333,-1,9.555555555555555
11,Brentford,L,Away,2,3,1.8,1.5,42,1.0,2.3333333333333335,1.0,1.5666666666666667,47.333333333333336,-1,5.111111111111111
11,Sheffield Utd,L,Away,1,2,1.2,1.0,61,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.4666666666666668,51.666666666666664,-1,8.0
12,Burnley,W,Home,3,1,1.8,0.3,63,2.3333333333333335,1.0,1.4666666666666666,0.7666666666666666,60.333333333333336,1,7.555555555555555
12,Fulham,W,Home,3,1,3.0,0.9,51,2.3333333333333335,1.3333333333333333,1.7999999999999998,0.6666666666666666,67.0,1,7.666666666666667
12,Newcastle Utd,W,Home,2,0,2.4,0.5,48,1.3333333333333333,3.0,0.8666666666666668,1.7000000000000002,38.333333333333336,1,4.888888888888888
12,Liverpool,L,Away,0,3,1.6,1.7,42,2.6666666666666665,0.6666666666666666,2.2666666666666666,1.5999999999999999,46.666666666666664,-1,8.444444444444445
12,Sheffield Utd,D,Home,1,1,1.5,1.1,61,1.0,1.3333333333333333,0.8999999999999998,0.7333333333333334,65.0,0,5.555555555555555
12,Arsenal,L,Away,1,3,0.3,1.8,37,0.3333333333333333,2.3333333333333335,1.0,1.8333333333333337,57.333333333333336,-1,3.333333333333333
12,Manchester City,D,Home,4,4,2.9,2.9,45,2.0,1.6666666666666667,2.433333333333333,1.366666666666667,57.333333333333336,0,7.777777777777778
12,Everton,L,Home,2,3,2.2,1.5,67,1.0,2.0,1.0333333333333332,1.5333333333333332,33.0,-1,6.555555555555555
12,Crystal Palace,W,Away,3,2,1.5,2.2,33,0.6666666666666666,1.0,0.5333333333333333,1.1333333333333335,26.666666666666668,1,6.888888888888889
