Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
25,Chelsea,D,Home,1,1,2.6,1.4,70,2.6666666666666665,0.6666666666666666,1.8,0.9,72.66666666666667,0,10.0
25,Luton Town,W,Away,2,1,2.9,1.8,42,3.0,1.3333333333333333,1.9333333333333333,1.9666666666666668,47.333333333333336,1,8.555555555555555
25,Bournemouth,D,Home,2,2,2.2,2.2,62,3.3333333333333335,2.3333333333333335,1.7999999999999998,1.7666666666666666,51.666666666666664,0,7.222222222222222
25,West Ham,W,Home,2,0,2.8,0.5,49,1.3333333333333333,2.0,0.8333333333333335,1.0,40.333333333333336,1,5.0
25,Brighton,L,Home,0,5,0.6,2.9,21,1.6666666666666667,3.0,1.3,1.7000000000000002,36.666666666666664,-1,5.666666666666666
25,Wolves,L,Home,1,2,1.6,1.8,71,2.3333333333333335,1.6666666666666667,1.8333333333333333,1.8,58.666666666666664,-1,8.666666666666668
25,Nott'ham Forest,L,Away,0,2,0.5,2.8,51,0.3333333333333333,3.3333333333333335,1.0,1.8333333333333333,42.333333333333336,-1,5.0
25,Tottenham,W,Away,2,1,1.8,1.6,29,2.3333333333333335,2.6666666666666665,1.7,2.3,53.333333333333336,1,6.333333333333333
26,Newcastle Utd,W,Home,4,1,2.8,0.2,55,4.666666666666667,0.3333333333333333,3.1333333333333333,0.3,59.0,1,10.0
26,Nott'ham Forest,W,Home,4,2,3.6,2.6,58,2.6666666666666665,1.0,2.033333333333333,1.5666666666666664,55.666666666666664,1,6.888888888888889
26,Manchester City,L,Home,0,1,0.9,1.6,38,1.3333333333333333,2.0,1.7666666666666668,1.4333333333333336,44.666666666666664,-1,5.444444444444444
26,West Ham,L,Away,2,4,0.9,1.7,59,1.3333333333333333,2.3333333333333335,1.5,1.9666666666666666,31.666666666666668,-1,5.777777777777777
26,Everton,D,Home,1,1,1.4,0.3,64,3.3333333333333335,1.0,1.8333333333333333,0.8333333333333334,65.0,0,6.888888888888889
26,Crystal Palace,L,Away,0,3,0.1,2.4,44,1.0,3.3333333333333335,1.1333333333333335,2.2,36.666666666666664,-1,4.444444444444445
26,Tottenham,W,Home,2,0,2.2,1.6,37,2.0,2.0,1.5,1.7333333333333332,57.0,1,6.666666666666666
26,Burnley,W,Home,3,0,2.4,0.1,56,1.0,2.6666666666666665,0.5333333333333332,1.5,31.333333333333332,1,5.333333333333333
26,Brighton,D,Away,1,1,0.3,1.4,36,1.0,1.6666666666666667,1.5333333333333332,1.1,44.0,0,5.888888888888889
26,Manchester Utd,W,Away,2,1,1.2,1.7,43,2.0,1.6666666666666667,1.5333333333333332,1.7,52.333333333333336,1,6.111111111111112
26,Luton Town,W,Home,4,1,3.3,0.9,60,2.6666666666666665,1.6666666666666667,2.0,2.1333333333333333,63.0,1,8.666666666666668
26,Liverpool,L,Away,1,4,0.9,3.3,40,2.0,3.0,2.0,2.3000000000000003,59.0,-1,5.555555555555555
26,Bournemouth,W,Away,1,0,1.6,0.9,62,2.0,0.6666666666666666,2.1,0.9,71.33333333333333,1,9.11111111111111
26,Fulham,L,Home,1,2,1.7,1.2,57,2.3333333333333335,0.6666666666666666,1.8,1.866666666666667,45.666666666666664,-1,9.555555555555555
26,Arsenal,L,Away,1,4,0.2,2.8,45,3.0,2.6666666666666665,1.6666666666666667,2.033333333333333,59.333333333333336,-1,7.555555555555555
26,Aston Villa,L,Away,2,4,2.6,3.6,42,1.6666666666666667,1.3333333333333333,1.6000000000000003,0.7666666666666666,47.666666666666664,-1,5.777777777777777
26,Wolves,L,Away,0,1,0.6,1.3,37,1.0,3.6666666666666665,1.2333333333333332,2.3,28.0,-1,5.333333333333333
26,Chelsea,L,Away,0,2,1.6,2.2,63,1.6666666666666667,1.6666666666666667,1.4000000000000001,1.8666666666666665,60.0,-1,7.111111111111112
26,Brentford,W,Home,4,2,1.7,0.9,41,0.0,3.6666666666666665,0.7000000000000001,2.3666666666666667,43.333333333333336,1,4.333333333333334
26,Sheffield Utd,W,Home,1,0,1.3,0.6,63,2.0,1.6666666666666667,1.5999999999999999,1.7333333333333334,45.333333333333336,1,6.888888888888889
27,Sheffield Utd,W,Away,6,0,2.3,0.2,80,5.0,0.3333333333333333,2.9,0.2333333333333333,63.0,1,10.0
27,Luton Town,W,Away,3,2,1.9,1.8,54,2.3333333333333335,1.6666666666666667,2.5,1.9666666666666668,54.0,1,7.777777777777778
27,Burnley,W,Away,2,0,1.1,1.5,26,1.0,2.0,1.6333333333333337,1.8000000000000005,42.333333333333336,1,5.111111111111111
27,Chelsea,D,Home,2,2,1.8,1.8,33,1.6666666666666667,2.6666666666666665,1.4666666666666668,1.833333333333333,42.0,0,4.666666666666667
27,Fulham,L,Away,0,3,1.3,1.3,70,2.3333333333333335,1.0,1.833333333333333,0.8333333333333335,63.666666666666664,-1,6.888888888888889
27,Bournemouth,L,Home,0,2,1.5,1.1,74,0.3333333333333333,3.6666666666666665,0.5666666666666668,2.5,36.666666666666664,-1,3.888888888888889
27,Brentford,D,Away,2,2,1.8,1.8,67,2.0,0.6666666666666666,1.6666666666666667,1.5999999999999999,48.0,0,7.222222222222222
27,Tottenham,L,Away,1,3,0.3,1.9,22,1.6666666666666667,1.3333333333333333,1.2333333333333332,1.0666666666666667,39.333333333333336,-1,6.777777777777779
27,West Ham,L,Home,1,3,2.7,1.9,55,0.6666666666666666,1.3333333333333333,0.7666666666666665,1.2333333333333332,41.666666666666664,-1,6.0
27,Brighton,W,Home,3,0,1.3,1.3,30,2.0,1.3333333333333333,1.4333333333333333,1.6666666666666667,48.0,1,7.444444444444445
27,Nott'ham Forest,W,Away,1,0,2.0,1.0,69,3.6666666666666665,1.0,2.966666666666667,1.2666666666666668,64.0,1,8.88888888888889
27,Aston Villa,L,Home,2,3,1.8,1.9,46,1.0,3.0,1.5,2.6333333333333333,57.333333333333336,-1,4.777777777777778
27,Manchester Utd,W,Home,3,1,3.3,0.2,73,1.3333333333333333,0.3333333333333333,1.9333333333333336,0.8666666666666667,68.0,1,9.222222222222223
27,Manchester City,L,Away,1,3,0.2,3.3,27,1.6666666666666667,1.3333333333333333,2.1333333333333333,1.8000000000000005,47.666666666666664,-1,8.222222222222221
27,Wolves,W,Home,3,0,2.1,0.8,44,2.0,2.6666666666666665,0.9666666666666667,2.1666666666666665,56.0,1,6.888888888888889
27,Liverpool,L,Home,0,1,1.0,2.0,31,2.0,2.3333333333333335,2.3000000000000003,1.5333333333333334,43.333333333333336,-1,5.444444444444444
27,Arsenal,L,Home,0,6,0.2,2.3,20,1.0,2.3333333333333335,0.9666666666666665,1.9999999999999998,28.0,-1,4.666666666666667
27,Crystal Palace,W,Home,3,1,1.9,0.3,78,1.0,1.6666666666666667,1.6,1.7333333333333334,62.0,1,6.111111111111112
27,Everton,W,Away,3,1,1.9,2.7,45,1.3333333333333333,3.3333333333333335,0.7999999999999999,2.4333333333333336,40.666666666666664,1,5.555555555555555
27,Newcastle Utd,L,Away,0,3,0.8,2.1,56,1.0,1.0,1.3666666666666665,1.3666666666666665,54.333333333333336,-1,7.777777777777778
28,Brentford,W,Home,2,1,1.3,1.0,71,5.0,0.3333333333333333,2.466666666666667,0.2333333333333333,66.33333333333333,1,10.0
28,Tottenham,L,Home,0,4,0.8,1.5,32,3.0,1.6666666666666667,2.333333333333333,1.9666666666666668,53.333333333333336,-1,8.88888888888889
28,Sheffield Utd,D,Home,2,2,3.3,1.2,69,1.3333333333333333,1.0,1.4000000000000004,1.7666666666666668,34.0,0,6.222222222222222
28,Arsenal,L,Away,1,2,1.0,1.3,29,1.6666666666666667,3.3333333333333335,1.4333333333333333,2.0999999999999996,43.333333333333336,-1,5.333333333333333
28,Nott'ham Forest,W,Home,1,0,0.4,0.7,63,2.0,1.3333333333333333,1.8666666666666665,0.7333333333333334,71.0,1,6.333333333333333
28,West Ham,D,Away,2,2,0.7,2.1,48,0.0,3.3333333333333335,0.6333333333333334,1.9333333333333336,51.333333333333336,0,3.7777777777777777
28,Newcastle Utd,W,Home,3,2,1.6,0.7,44,1.6666666666666667,1.0,1.8,2.0,44.666666666666664,1,7.555555555555555
28,Luton Town,D,Home,1,1,2.7,0.8,49,1.6666666666666667,1.3333333333333333,1.1333333333333333,1.2333333333333334,39.0,0,5.555555555555555
28,Manchester Utd,L,Away,0,2,1.6,2.7,49,1.0,1.6666666666666667,1.5666666666666664,1.3333333333333333,50.666666666666664,-1,5.222222222222222
28,Wolves,L,Away,1,2,2.6,0.8,52,2.0,1.0,1.3333333333333333,1.5,41.666666666666664,-1,8.222222222222221
28,Manchester City,D,Home,1,1,2.7,1.6,53,3.0,0.6666666666666666,2.7000000000000006,1.1666666666666667,63.666666666666664,0,9.11111111111111
28,Crystal Palace,D,Away,1,1,0.8,2.7,51,1.3333333333333333,3.0,1.5,2.6999999999999997,48.0,0,3.7777777777777777
28,Liverpool,D,Away,1,1,1.6,2.7,47,1.6666666666666667,0.6666666666666666,2.5000000000000004,0.8333333333333334,68.33333333333333,0,9.333333333333334
28,Everton,W,Home,2,0,2.7,1.6,51,1.3333333333333333,2.0,1.5999999999999999,2.1,42.0,1,6.666666666666666
28,Chelsea,L,Away,2,3,0.7,1.6,56,2.0,2.0,1.5,1.9333333333333333,50.333333333333336,-1,7.333333333333333
28,Brighton,L,Away,0,1,0.7,0.4,37,1.3333333333333333,1.6666666666666667,2.1333333333333333,2.0333333333333337,40.666666666666664,-1,5.111111111111111
28,Bournemouth,D,Away,2,2,1.2,3.3,31,0.0,4.0,0.4666666666666666,2.1666666666666665,26.0,0,4.444444444444445
28,Aston Villa,W,Away,4,0,1.5,0.8,68,1.3333333333333333,1.6666666666666667,1.7,1.4333333333333333,70.66666666666667,1,6.666666666666666
28,Burnley,D,Home,2,2,2.1,0.7,52,2.3333333333333335,1.6666666666666667,1.3666666666666665,2.1333333333333333,45.666666666666664,0,6.666666666666666
28,Fulham,W,Home,2,1,0.8,2.6,48,1.0,1.3333333333333333,1.2999999999999998,1.4333333333333336,49.333333333333336,1,7.111111111111112
29,Chelsea,W,Home,5,0,3.3,1.6,45,4.0,0.6666666666666666,2.1333333333333333,0.4666666666666666,68.66666666666667,1,10.0
29,West Ham,D,Away,1,1,0.7,2.0,69,2.3333333333333335,2.6666666666666665,2.1,1.9666666666666668,48.0,0,7.333333333333333
29,Wolves,W,Away,1,0,1.9,0.5,37,1.3333333333333333,1.0,1.7666666666666668,1.4333333333333336,44.333333333333336,1,6.333333333333333
29,Burnley,L,Away,1,2,1.1,2.8,40,1.6666666666666667,2.6666666666666665,1.2333333333333334,1.5999999999999999,40.333333333333336,-1,5.0
29,Manchester City,L,Home,0,4,0.6,1.4,36,0.6666666666666666,1.3333333333333333,1.0333333333333332,0.7666666666666666,65.66666666666667,-1,6.888888888888889
29,Brentford,W,Home,2,1,2.8,1.1,60,0.6666666666666666,2.3333333333333335,0.7666666666666666,1.8666666666666671,55.333333333333336,1,4.222222222222222
29,Arsenal,L,Away,0,5,1.6,3.3,55,2.3333333333333335,1.3333333333333333,1.8666666666666665,1.3666666666666665,49.333333333333336,-1,8.666666666666668
29,Newcastle Utd,W,Home,2,0,0.9,0.4,47,1.6666666666666667,1.3333333333333333,1.8,0.9333333333333335,42.333333333333336,1,6.111111111111112
29,Liverpool,W,Home,2,0,1.2,2.1,25,0.6666666666666666,2.0,1.5333333333333332,2.0,46.666666666666664,1,4.555555555555555
29,Tottenham,W,Home,3,0,2.6,2.4,43,2.0,1.0,1.7,1.2666666666666666,41.666666666666664,1,7.111111111111112
29,Everton,L,Away,0,2,2.1,1.2,75,2.0,0.6666666666666666,2.6666666666666665,1.1666666666666667,60.666666666666664,-1,9.11111111111111
29,Nott'ham Forest,D,Home,1,1,0.6,2.0,60,1.3333333333333333,2.6666666666666665,1.1666666666666667,2.6333333333333333,45.666666666666664,0,4.222222222222222
29,Brighton,W,Away,4,0,1.4,0.6,64,1.6666666666666667,0.6666666666666666,2.166666666666667,1.2666666666666666,60.666666666666664,1,8.555555555555555
29,Sheffield Utd,W,Home,4,2,2.9,0.8,71,1.3333333333333333,1.6666666666666667,1.5333333333333332,2.0333333333333337,45.0,1,7.111111111111112
29,Crystal Palace,L,Away,0,2,0.4,0.9,53,2.0,2.3333333333333335,1.0,1.7333333333333334,48.333333333333336,-1,6.333333333333333
29,Luton Town,D,Away,1,1,2.0,0.6,40,0.6666666666666666,2.0,1.4333333333333336,2.0000000000000004,36.666666666666664,0,4.444444444444445
29,Manchester Utd,L,Away,2,4,0.8,2.9,29,0.6666666666666666,3.0,0.6666666666666666,2.3,29.333333333333332,-1,5.111111111111111
29,Fulham,L,Away,0,3,2.4,2.6,57,2.3333333333333335,1.0,1.6666666666666667,1.1,69.66666666666667,-1,7.555555555555555
29,Aston Villa,D,Home,1,1,2.0,0.7,31,3.0,1.6666666666666667,1.8999999999999997,1.4333333333333333,46.0,0,7.111111111111112
29,Bournemouth,L,Home,0,1,0.5,1.9,63,1.0,1.3333333333333333,0.9666666666666667,1.7666666666666666,55.666666666666664,-1,7.555555555555555
30,Manchester City,D,Away,0,0,0.7,1.0,28,4.333333333333333,0.3333333333333333,2.3000000000000003,0.9333333333333332,65.33333333333333,0,10.0
30,Wolves,W,Home,2,0,1.0,1.5,48,1.3333333333333333,2.3333333333333335,1.133333333333333,1.7666666666666666,51.666666666666664,1,7.555555555555555
30,Everton,W,Home,2,1,1.3,1.0,48,1.6666666666666667,0.6666666666666666,2.1,1.066666666666667,44.0,1,7.666666666666667
30,Manchester Utd,D,Home,1,1,3.2,0.6,47,1.3333333333333333,2.0,1.3,1.9666666666666666,34.0,0,4.0
30,Liverpool,L,Away,1,2,0.5,2.8,45,0.3333333333333333,2.3333333333333335,0.7666666666666666,1.1333333333333333,56.333333333333336,-1,6.333333333333333
30,Chelsea,D,Away,2,2,1.6,4.2,31,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.4333333333333336,60.666666666666664,0,5.888888888888889
30,Burnley,D,Home,2,2,4.2,1.6,69,1.6666666666666667,3.0,1.6666666666666667,1.933333333333333,55.333333333333336,0,7.111111111111112
30,Nott'ham Forest,D,Away,1,1,1.2,0.9,41,1.3333333333333333,1.3333333333333333,1.3,1.0333333333333334,39.333333333333336,0,7.444444444444445
30,Bournemouth,L,Away,1,2,1.0,1.3,52,1.0,1.6666666666666667,1.833333333333333,2.233333333333333,43.0,-1,6.111111111111112
30,Sheffield Utd,D,Away,3,3,1.3,1.9,73,2.3333333333333335,0.6666666666666666,2.1666666666666665,1.4999999999999998,41.666666666666664,0,7.555555555555555
30,Brighton,W,Home,2,1,2.8,0.5,55,0.6666666666666666,1.0,2.266666666666667,1.2666666666666668,65.66666666666667,1,7.444444444444445
30,Tottenham,L,Away,1,2,0.5,2.9,30,1.3333333333333333,1.6666666666666667,1.0666666666666667,2.2,52.333333333333336,-1,5.0
30,Arsenal,D,Home,0,0,1.0,0.7,72,2.6666666666666665,0.6666666666666666,2.1,1.1666666666666667,61.333333333333336,0,8.777777777777779
30,Brentford,D,Away,1,1,0.6,3.2,53,2.3333333333333335,1.6666666666666667,1.9333333333333333,1.9000000000000004,49.666666666666664,0,7.555555555555555
30,West Ham,W,Home,4,3,4.1,1.4,60,1.6666666666666667,1.6666666666666667,1.0666666666666667,1.1,51.0,1,5.111111111111111
30,Crystal Palace,D,Home,1,1,0.9,1.2,59,0.3333333333333333,1.0,1.2333333333333334,1.0000000000000002,36.0,0,5.111111111111111
30,Fulham,D,Home,3,3,1.9,1.3,27,1.3333333333333333,4.0,0.7333333333333333,2.8333333333333335,26.666666666666668,0,4.111111111111111
30,Luton Town,W,Home,2,1,2.9,0.5,70,2.3333333333333335,1.3333333333333333,1.9333333333333333,1.2333333333333334,67.66666666666667,1,6.222222222222222
30,Newcastle Utd,L,Away,3,4,1.4,4.1,40,2.0,1.3333333333333333,2.0,1.3666666666666665,42.666666666666664,-1,7.444444444444445
30,Aston Villa,L,Away,0,2,1.5,1.0,52,0.6666666666666666,1.6666666666666667,0.6999999999999998,2.1999999999999997,55.666666666666664,-1,6.888888888888889
31,Luton Town,W,Home,2,0,0.7,0.3,58,2.3333333333333335,0.3333333333333333,1.7666666666666666,1.2,48.0,1,9.11111111111111
31,Manchester City,L,Away,1,4,0.8,3.4,33,1.0,1.6666666666666667,0.8333333333333331,1.6666666666666667,49.666666666666664,-1,7.888888888888888
31,Crystal Palace,W,Home,1,0,1.1,0.2,50,1.6666666666666667,1.0,2.166666666666667,0.9000000000000004,51.333333333333336,1,8.444444444444445
31,Brighton,D,Home,0,0,0.6,1.1,34,1.0,1.6666666666666667,1.7666666666666668,1.5666666666666664,38.666666666666664,0,4.777777777777778
31,Brentford,D,Away,0,0,1.1,0.6,66,0.6666666666666666,2.0,0.49999999999999983,1.633333333333333,48.0,0,5.111111111111111
31,Wolves,D,Home,1,1,1.3,0.9,51,2.0,1.6666666666666667,1.7,2.4666666666666672,46.333333333333336,0,6.444444444444445
31,Manchester Utd,W,Home,4,3,3.0,1.5,57,1.6666666666666667,3.0,2.466666666666667,1.8666666666666665,56.0,1,7.0
31,Bournemouth,L,Away,0,1,0.2,1.1,50,1.3333333333333333,0.6666666666666666,1.6000000000000003,0.7000000000000002,45.666666666666664,-1,7.333333333333333
31,Newcastle Utd,D,Away,1,1,1.4,2.4,43,1.0,1.3333333333333333,1.2666666666666664,2.0333333333333337,42.0,0,5.333333333333333
31,Nott'ham Forest,L,Away,1,3,1.5,1.5,66,2.3333333333333335,1.6666666666666667,2.1666666666666665,1.7,56.0,-1,7.777777777777778
31,Sheffield Utd,W,Home,3,1,1.8,0.6,82,1.0,1.3333333333333333,2.5333333333333337,1.1,61.0,1,7.777777777777778
31,Arsenal,L,Away,0,2,0.3,0.7,42,1.0,1.3333333333333333,0.6333333333333333,2.5333333333333337,47.0,-1,4.777777777777778
31,Aston Villa,W,Home,4,1,3.4,0.8,67,1.6666666666666667,0.3333333333333333,1.3333333333333337,1.3333333333333333,61.0,1,8.444444444444445
31,Chelsea,L,Away,3,4,1.5,3.0,43,2.3333333333333335,1.0,2.0666666666666664,1.8666666666666671,58.333333333333336,-1,7.111111111111112
31,Everton,D,Home,1,1,2.4,1.4,57,2.0,2.6666666666666665,1.7333333333333332,1.3,56.333333333333336,0,6.222222222222222
31,Fulham,W,Home,3,1,1.5,1.5,34,0.6666666666666666,1.0,1.2000000000000002,0.7333333333333334,45.333333333333336,1,5.0
31,Liverpool,L,Away,1,3,0.6,1.8,18,2.3333333333333335,3.0,1.2999999999999998,2.5,29.0,-1,4.888888888888888
31,West Ham,D,Away,1,1,1.0,1.5,67,2.0,1.3333333333333333,2.2666666666666666,1.3,65.0,0,7.555555555555555
31,Tottenham,D,Home,1,1,1.5,1.0,33,2.0,2.3333333333333335,1.8333333333333333,1.833333333333333,41.0,0,6.777777777777779
31,Burnley,D,Away,1,1,0.9,1.3,49,0.6666666666666666,1.3333333333333333,0.9333333333333332,1.8333333333333333,54.333333333333336,0,5.555555555555555
32,Brighton,W,Away,3,0,3.4,0.5,46,2.3333333333333335,0.0,1.5666666666666667,0.9666666666666667,43.666666666666664,1,9.222222222222223
32,Brentford,D,Home,3,3,1.5,1.5,69,1.3333333333333333,1.6666666666666667,0.8333333333333331,2.3,50.0,0,6.444444444444445
32,Luton Town,L,Away,1,2,0.4,1.5,45,1.3333333333333333,0.3333333333333333,1.4333333333333336,0.566666666666667,45.0,-1,9.444444444444445
32,Aston Villa,D,Away,3,3,1.5,1.5,31,0.6666666666666666,1.0,1.6333333333333335,1.5,40.333333333333336,0,5.444444444444444
32,Arsenal,L,Home,0,3,0.5,3.4,54,0.3333333333333333,2.0,0.7333333333333333,1.5999999999999996,49.0,-1,5.333333333333333
32,Everton,L,Away,0,1,0.5,0.9,62,1.6666666666666667,1.3333333333333333,1.9000000000000001,2.0666666666666678,47.333333333333336,-1,6.888888888888889
32,Sheffield Utd,D,Away,2,2,0.3,1.4,68,2.0,3.3333333333333335,2.9333333333333336,2.1333333333333333,60.333333333333336,0,7.444444444444445
32,Manchester City,L,Home,2,4,1.1,1.9,25,1.0,0.6666666666666666,0.7666666666666667,0.8000000000000002,46.0,-1,6.0
32,Burnley,W,Home,1,0,0.9,0.5,38,1.3333333333333333,1.0,1.1999999999999995,1.9333333333333333,40.0,1,5.555555555555555
32,Newcastle Utd,L,Home,0,1,1.2,1.0,66,2.3333333333333335,2.0,1.8,1.933333333333333,60.666666666666664,-1,6.333333333333333
32,Manchester Utd,D,Away,2,2,3.6,0.7,62,1.6666666666666667,1.3333333333333333,2.2333333333333334,0.7666666666666667,70.66666666666667,0,8.11111111111111
32,Bournemouth,W,Home,2,1,1.5,0.4,55,0.6666666666666666,1.6666666666666667,0.4666666666666666,1.8666666666666665,44.0,1,4.555555555555555
32,Crystal Palace,W,Away,4,2,1.9,1.1,75,2.6666666666666665,0.3333333333333333,1.9333333333333336,0.6999999999999998,67.66666666666667,1,8.666666666666668
32,Liverpool,D,Home,2,2,0.7,3.6,38,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.333333333333334,55.666666666666664,0,6.555555555555555
32,Fulham,W,Away,1,0,1.0,1.2,34,1.6666666666666667,2.0,2.2999999999999994,1.2333333333333332,56.666666666666664,1,6.666666666666666
32,Tottenham,L,Away,1,3,1.5,1.5,37,1.6666666666666667,1.0,1.4666666666666668,1.1000000000000003,44.333333333333336,-1,6.555555555555555
32,Chelsea,D,Home,2,2,1.4,0.3,32,2.0,3.3333333333333335,1.0999999999999999,2.0,24.666666666666668,0,4.666666666666667
32,Nott'ham Forest,W,Home,3,1,1.5,1.5,63,1.0,1.6666666666666667,2.1,1.5333333333333332,64.66666666666667,1,7.777777777777778
32,Wolves,W,Away,2,1,1.2,1.5,42,1.6666666666666667,2.0,1.6333333333333335,1.933333333333333,34.666666666666664,1,6.333333333333333
32,West Ham,L,Home,1,2,1.5,1.2,58,0.3333333333333333,1.3333333333333333,0.9666666666666665,1.4000000000000001,54.666666666666664,-1,5.333333333333333
33,Aston Villa,L,Home,0,2,1.6,0.9,52,1.6666666666666667,0.0,1.6000000000000003,0.6,44.0,-1,9.333333333333334
33,Arsenal,W,Away,2,0,0.9,1.6,48,2.0,2.3333333333333335,1.0999999999999999,2.1333333333333333,50.0,1,6.111111111111112
33,Manchester Utd,D,Home,2,2,1.6,1.2,43,1.3333333333333333,1.0,0.9333333333333337,0.9000000000000004,47.666666666666664,0,7.777777777777778
33,Sheffield Utd,W,Home,2,0,1.0,0.8,53,1.3333333333333333,1.3333333333333333,1.7666666666666668,1.0666666666666667,37.333333333333336,1,5.666666666666666
33,Burnley,D,Away,1,1,0.9,1.7,56,0.3333333333333333,1.6666666666666667,0.6999999999999998,2.2666666666666666,55.0,0,5.0
33,Brighton,D,Home,1,1,1.7,0.9,44,1.0,1.3333333333333333,1.1333333333333335,2.0000000000000004,48.0,0,6.333333333333333
33,Everton,W,Home,6,0,3.1,1.5,58,2.6666666666666665,2.3333333333333335,2.5,1.5,64.66666666666667,1,7.333333333333333
33,Liverpool,W,Away,1,0,2.0,2.7,31,1.0,2.0,0.8333333333333334,1.3,38.666666666666664,1,5.555555555555555
33,Chelsea,L,Away,0,6,1.5,3.1,42,1.0,1.0,1.0999999999999996,1.3999999999999997,44.333333333333336,-1,7.0
33,West Ham,W,Away,2,0,3.2,0.9,42,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.4666666666666661,68.33333333333333,1,5.111111111111111
33,Crystal Palace,L,Home,0,1,2.7,2.0,69,2.3333333333333335,1.3333333333333333,2.733333333333334,0.6000000000000001,66.33333333333333,-1,7.555555555555555
33,Manchester City,L,Away,1,5,0.5,4.2,27,1.0,1.6666666666666667,0.7666666666666666,1.3333333333333333,42.333333333333336,-1,6.111111111111112
33,Luton Town,W,Home,5,1,4.2,0.5,73,2.6666666666666665,1.0,2.1,0.8666666666666666,71.33333333333333,1,8.88888888888889
33,Bournemouth,D,Away,2,2,1.2,1.6,57,2.0,2.3333333333333335,0.9333333333333332,3.266666666666667,44.666666666666664,0,6.888888888888889
33,Tottenham,W,Home,4,0,2.8,0.8,28,2.0,1.3333333333333333,2.5,1.3333333333333333,50.333333333333336,1,7.222222222222222
33,Wolves,D,Home,2,2,1.9,1.0,46,1.6666666666666667,1.6666666666666667,1.3,1.4000000000000001,43.333333333333336,0,6.111111111111112
33,Brentford,L,Away,0,2,0.8,1.0,47,2.0,2.6666666666666665,1.2999999999999998,1.1333333333333333,25.666666666666668,-1,5.333333333333333
33,Newcastle Utd,L,Away,0,4,0.8,2.8,72,2.0,1.0,1.8,1.1666666666666667,66.66666666666667,-1,8.11111111111111
33,Fulham,L,Home,0,2,0.9,3.2,58,2.0,2.0,1.3666666666666665,2.1999999999999997,38.333333333333336,-1,6.888888888888889
33,Nott'ham Forest,D,Away,2,2,1.0,1.9,54,0.6666666666666666,1.6666666666666667,1.2999999999999998,1.1666666666666667,53.0,0,5.0
34,Wolves,W,Away,2,0,1.2,0.2,54,1.6666666666666667,0.6666666666666666,1.9000000000000001,0.5666666666666665,52.0,1,7.666666666666667
34,Bournemouth,W,Home,3,1,2.4,1.8,56,2.0,2.3333333333333335,1.0666666666666667,2.1666666666666665,50.0,1,7.444444444444445
34,Aston Villa,L,Away,1,3,1.8,2.4,44,1.3333333333333333,1.3333333333333333,1.0333333333333339,0.9666666666666669,46.0,-1,7.555555555555555
34,Luton Town,W,Away,5,1,3.1,0.6,47,1.6666666666666667,1.0,1.0333333333333334,1.1333333333333335,39.333333333333336,1,7.111111111111112
34,Chelsea,L,Home,1,2,1.3,1.5,55,0.3333333333333333,1.3333333333333333,0.8333333333333331,1.9000000000000001,58.666666666666664,-1,4.888888888888888
34,Sheffield Utd,W,Away,4,1,2.2,2.4,51,0.6666666666666666,1.0,1.1666666666666667,0.9,52.333333333333336,1,6.333333333333333
34,Brighton,W,Away,2,1,1.5,1.3,45,4.0,1.6666666666666667,2.1333333333333333,1.4666666666666666,61.0,1,7.777777777777778
34,West Ham,W,Home,5,2,2.4,1.3,60,1.0,1.6666666666666667,1.0999999999999999,1.9000000000000001,35.333333333333336,1,6.555555555555555
34,Nott'ham Forest,W,Home,2,0,0.3,0.9,41,0.6666666666666666,2.3333333333333335,1.2666666666666664,2.0,41.0,1,6.444444444444445
34,Liverpool,L,Home,1,3,0.8,1.0,40,1.0,1.3333333333333333,1.9666666666666668,1.133333333333333,58.0,-1,6.555555555555555
34,Fulham,W,Away,3,1,1.0,0.8,60,1.6666666666666667,1.3333333333333333,2.7000000000000006,1.1,71.0,1,6.555555555555555
34,Brentford,L,Home,1,5,0.6,3.1,53,1.0,2.6666666666666665,0.7666666666666666,1.7666666666666668,41.333333333333336,-1,5.333333333333333
34,Tottenham,W,Away,2,0,2.4,1.7,47,4.333333333333333,1.3333333333333333,3.1666666666666665,0.7999999999999999,71.66666666666667,1,9.444444444444445
34,Newcastle Utd,W,Home,3,2,1.4,2.3,45,2.3333333333333335,2.6666666666666665,1.1333333333333333,2.733333333333334,46.0,1,6.444444444444445
34,Manchester Utd,L,Away,2,3,2.3,1.4,55,2.0,0.3333333333333333,2.0666666666666664,1.1333333333333333,39.666666666666664,-1,8.444444444444445
34,Everton,L,Away,0,2,0.9,0.3,59,2.0,2.0,1.6333333333333335,1.3333333333333333,39.0,-1,6.555555555555555
34,Burnley,L,Home,1,4,2.4,2.2,49,1.0,2.3333333333333335,0.9333333333333332,1.0333333333333332,32.333333333333336,-1,4.666666666666667
34,Manchester City,L,Home,0,2,1.7,2.4,53,1.3333333333333333,2.0,1.0999999999999999,1.9333333333333333,67.33333333333333,-1,6.666666666666666
