,Round_home,Team_home,Opponent_home,Result_home,Venue_home,GF_home,GA_home,xG_home,xGA_home,Poss_home,Avg_GF_home,Avg_GA_home,Avg_xG_home,Avg_xGA_home,Avg_Poss_home,Label_home,Form_home,Opponent_Match_ID,Round_away,Team_away,Opponent_away,Result_away,Venue_away,GF_away,GA_away,xG_away,xGA_away,Poss_away,Avg_GF_away,Avg_GA_away,Avg_xG_away,Avg_xGA_away,Avg_Poss_away,Label_away,Form_away,Match_ID,Label
12-Aston-Villa-Fulham,12,Aston-Villa,Fulham,W,Home,3,1,3.0,0.9,51,2.3333333333333335,1.3333333333333333,1.7999999999999998,0.6666666666666666,67.0,1,7.333333333333333,12-Fulham-Aston-Villa,12,Fulham,Aston-Villa,L,Away,1,3,0.9,3.0,49,0.3333333333333333,1.3333333333333333,0.9,1.2,39.666666666666664,-1,4.444444444444445,12-Fulham-Aston-Villa,1
12-Bournemouth-Newcastle-United,12,Bournemouth,Newcastle-United,W,Home,2,0,2.4,0.5,48,1.3333333333333333,3.0,0.8666666666666668,1.7000000000000002,38.333333333333336,1,5.555555555555555,12-Newcastle-United-Bournemouth,12,Newcastle-United,Bournemouth,L,Away,0,2,0.5,2.4,52,2.3333333333333335,0.6666666666666666,1.8666666666666665,0.8999999999999998,52.666666666666664,-1,8.88888888888889,12-Newcastle-United-Bournemouth,1
12-Brighton-and-Hove-Albion-Sheffield-United,12,Brighton-and-Hove-Albion,Sheffield-United,D,Home,1,1,1.5,1.1,61,1.0,1.3333333333333333,0.8999999999999998,0.7333333333333334,65.0,0,5.777777777777777,12-Sheffield-United-Brighton-and-Hove-Albion,12,Sheffield-United,Brighton-and-Hove-Albion,D,Away,1,1,1.1,1.5,39,1.0,2.6666666666666665,0.7999999999999998,1.7,36.666666666666664,0,6.0,12-Sheffield-United-Brighton-and-Hove-Albion,0
12-Chelsea-Manchester-City,12,Chelsea,Manchester-City,D,Home,4,4,2.9,2.9,45,2.0,1.6666666666666667,2.433333333333333,1.366666666666667,57.333333333333336,0,6.888888888888889,12-Manchester-City-Chelsea,12,Manchester-City,Chelsea,D,Away,4,4,2.9,2.9,55,3.6666666666666665,0.6666666666666666,2.233333333333334,0.8666666666666667,60.0,0,10.0,12-Manchester-City-Chelsea,0
12-Crystal-Palace-Everton,12,Crystal-Palace,Everton,L,Home,2,3,2.2,1.5,67,1.0,2.0,1.0333333333333332,1.5333333333333332,33.0,-1,6.0,12-Everton-Crystal-Palace,12,Everton,Crystal-Palace,W,Away,3,2,1.5,2.2,33,0.6666666666666666,1.0,0.5333333333333333,1.1333333333333335,26.666666666666668,1,6.888888888888889,12-Everton-Crystal-Palace,-1
12-Liverpool-Brentford,12,Liverpool,Brentford,W,Home,3,0,1.7,1.6,58,2.0,0.3333333333333333,2.6666666666666665,0.43333333333333335,74.0,1,8.666666666666668,12-Brentford-Liverpool,12,Brentford,Liverpool,L,Away,0,3,1.6,1.7,42,2.6666666666666665,0.6666666666666666,2.2666666666666666,1.5999999999999999,46.666666666666664,-1,10.0,12-Brentford-Liverpool,1
12-Manchester-United-Luton-Town,12,Manchester-United,Luton-Town,W,Home,1,0,2.2,0.4,64,1.0,1.3333333333333333,0.8999999999999999,2.1333333333333333,52.333333333333336,1,7.777777777777778,12-Luton-Town-Manchester-United,12,Luton-Town,Manchester-United,L,Away,0,1,0.4,2.2,36,1.3333333333333333,2.0,1.0,2.5999999999999996,33.333333333333336,-1,5.555555555555555,12-Luton-Town-Manchester-United,1
12-West-Ham-United-Nottingham-Forest,12,West-Ham-United,Nottingham-Forest,W,Home,3,2,1.8,1.7,54,1.0,2.6666666666666665,1.2,1.4000000000000001,49.333333333333336,1,3.333333333333333,12-Nottingham-Forest-West-Ham-United,12,Nottingham-Forest,West-Ham-United,L,Away,2,3,1.7,1.8,46,1.3333333333333333,1.6666666666666667,1.2333333333333334,2.0333333333333337,37.333333333333336,-1,6.888888888888889,12-Nottingham-Forest-West-Ham-United,1
13-Brentford-Arsenal,13,Brentford,Arsenal,L,Home,0,1,1.1,1.6,37,1.6666666666666667,1.6666666666666667,1.7666666666666668,1.7999999999999998,44.0,-1,7.333333333333333,13-Arsenal-Brentford,13,Arsenal,Brentford,W,Away,1,0,1.6,1.1,63,2.6666666666666665,0.6666666666666666,1.7333333333333332,0.43333333333333335,62.666666666666664,1,7.777777777777778,13-Arsenal-Brentford,-1
13-Burnley-West-Ham-United,13,Burnley,West-Ham-United,L,Home,1,2,1.3,0.9,50,0.6666666666666666,2.3333333333333335,0.7333333333333334,1.4000000000000004,53.0,-1,3.333333333333333,13-West-Ham-United-Burnley,13,West-Ham-United,Burnley,W,Away,2,1,0.9,1.3,50,1.6666666666666667,2.0,1.4333333333333333,1.3333333333333333,53.333333333333336,1,6.0,13-West-Ham-United-Burnley,-1
